tamaño,fuente,anchura,resultado,frase_original,texto_extraido
9,ocr-a-std,6800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
9,ocr-a-std,8800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
11,ocr-a-std,800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
9,ocr-a-std,9800,66.67,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"Jeddepsideisothiocyanocrandrache
hardpandiluvianism75L815quintaryunsaintlikeunmappeddepsidi y"
11,ocr-a-std,2800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,4800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,3800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,1800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,5800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,6800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,7800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
11,ocr-a-std,8800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
13,ocr-a-std,800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocran
drachm"
13,ocr-a-std,2800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
11,ocr-a-std,9800,97.5,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachs
13,ocr-a-std,3800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,1800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,4800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,5800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,7800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,6800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,8800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,1800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
13,ocr-a-std,9800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,2800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothio
cyanocrandrachm"
15,ocr-a-std,3800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,4800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,5800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,6800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,7800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
15,ocr-a-std,8800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,1800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"hardpandiluvianism756819quintaryunsaintlikeunmappeddepsid
eisothiocyanocrandrachm"
15,ocr-a-std,9800,98.75,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism75b819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,2800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,3800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,5800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,4800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,7800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,9800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,8800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
17,ocr-a-std,6800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,"hardpandiluvianism756819quintaryunsaintlikeunmapped
depsideisothiocyanocrandrachm"
19,ocr-a-std,1800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,7800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,8800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,3800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,4800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,2800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
19,ocr-a-std,9800,100.0,hardpan diluvianism 756819 quintary unsaintlike unmapped depside isothiocyano cran drachm,hardpandiluvianism756819quintaryunsaintlikeunmappeddepsideisothiocyanocrandrachm
