tamaño,resultado,frase_original,texto_extraido
23,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY806c3RpYZEgQWxiZXJObyBNYXJOaW4gT3JIwZFhIHkgUmgkcmlnbyBHYWxsZWdvIEIhcmlu
25,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluzmgybWFjw6IvbiBtZWRpYWSOZSBOw6ljbmljYXMgZGUgZXNjZWSvZ3JhzsotysBhY8O6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3J1wZFhlHkgUm9kcmlnbyBHYWxsZWdvlEIhcmlu
27,88.95,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhIGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmljYXMgZGUgZXNjZWSvZaJhZsOtYSBhY8O6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
29,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjw61vbiBtZWRpYWSOZSBOweljbmljYXMgzGUgZXNjZWSvz3JhZsOtYSBhY8O6c3RpYZEgQwxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxsZWdvlEIhcmlu
31,85.47,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOweljbmljYXMgZGUgZXNjZWSvz3JhZsOtYSBhY806c3RpYZEgQWxiZXJObyBNYXfOaW4gT3JIwZFhlHkgUmgkcmlnbyBHYWxsZWdvlELhcmlu
33,88.95,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhIGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmljYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY806c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JlwZFhlHkgUmgkcmlnbyBHYWxsZWdvIELhcmlu
35,86.88,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpYWSOZSBOweljbmIjYXMgZGUgZXNjZWSvz3JhZsotYSBhY86c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JlwZFhlHkgUmgkcmlnbyBHYWxsZWdvIElhcmlu
37,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhlGluZmgybWFjw6lvbiBtZWRpYW5OZSBOweljbmljYXMgZGUgZXNjZWSvz3JhZsOtYSBhY8O6c3RpY2EgQWxiZXyObyBNYXJOaW4gT3Jlw7FhlHkgUmgkcmlnbyBHYWxsZWdvlElhcmlu
39,86.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwTNulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOweljbmljYXMgZGUgZXNjZWSvz3JhzsOtYSBhY8o6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3Jlw7FhIHkgUmgkcmInbyBHYWxsZWdvlElhcmlu
41,87.79,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwTNulGRIIGxhIGluZmgybWFjw6lvbiBtZWRpYWSOZSBOw6ljbmIjYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY806c3Rpy2EgQWxiZXJObyBNYXJOaW4gT3J1wZFhIHkgUmgkcmlnbyBHYWxszWdvlELhcmlu
43,86.63,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2NpwZNulGRIIGxhlGluZmgybWFjw61vbiBtzWRpYWSOZSBOw6ljbmIjYXMgzGUgZXNjZWSvZBJhZsOtYSBhy8O6c3RpY2EgQWxiZXJObyBNYXJOaW4gTBJlw7FhIHkgUmgkcmlnbyBHYWxSZWdvlEIhcmlu
45,86.88,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIY2Npw7NulGRIIGxhIGluZmgybWFjw61vbiBtZWRpYWSOZSBOw6ijbmljYXMgzGUgZXNjZWSvZaJhzsOtYSBhy8o6c3RpY2EgQWxiZXyObyBNYXOaW4gT3Jiw7FhlHkgUm9kcminbyBHYWxSZWdvIElhcmlu
47,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NuIGRIIGxhIGluZmgybWFjw6lvbiBtZWRpYWSOZSBOwGljbmljYXMgZGUgZXNjZWSvZ3JhZsOtYsBhY8O6c3RpY2EgQWxizXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmInbyBHYWxsZWdvIELhcmlu
49,85.71,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZN4IGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYWSOZSBOwGIjbmIjYXMgZGUgZXNjZWSvZ3JhzsOtYSBhy8o6c3RpY2EgQWxiZXObyBNYXJOaW4gT3Jlw7FhIHkgUmgkcmlnbyBHYWxsZWdvIELhcmlu
51,85.47,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NuiGRIIGxhlGluzmgybwFjw6lvbiBtZWRpYWSOZSBOwGljbmIjYXMgZGUgZXNjZWSvz3JhzsOtYSBhY806c3RpYzEgQWxiZXJObyBNYXJOaW4gT3JIwZFhIHkgUmgkcmlnbyBHYWxsZWdvIElhcmlu
53,86.05,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NuIGRIIGxhiGluzmgybwFjw6lvbiBtZWRpYWSOZSBOweljbmIjYXMgZGUgZXNjZWSvZ3JhZsOtYSBhy8o6c3RpY2EgQWxiZXJObyBNYXJOaW4gT3JIwZFhlHkgUmgkcmInbyBHYWxsZWdvIElhcmlu
55,88.37,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpw7NulGRIIGxhiGluzmgybWFjw6lvbiBtZWRpYW5OZSBOw6ljbmljYXMgZGUgZXNjZWSvZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXjObyBNYXJOaW4gT3JIwZFhIHkgUmgkcmInbyBHYWxSZWdvIElhcmlu
57,82.56,IFBJVEVBIFByb3RlY2Npw7NuIGRlIGxhIGluZm9ybWFjw61vbiBtZWRpYW50ZSB0w6ljbmljYXMgZGUgZXNjZW5vZ3JhZsOtYSBhY8O6c3RpY2EgQWxiZXJ0byBNYXJ0aW4gT3J1w7FhIHkgUm9kcmlnbyBHYWxsZWdvIE1hcmlu,IFBJVEVBIFByb3RIYZNpwZNulGRIIGxhlGluzmgybWFjw6lvbiBtZWRpYW5OZSBOwGljbmIjYXMgzGUgZXNjZWSvZaJhzsotYSBhY8o6c3RpYZEgQwxiZXIObyBNYXJOaW4gT3JlwZFhIHkgUmgkcmInbyBHYWxsZWdvlElhcmlu
