tamaño,fuente,anchura,resultado,frase_original,texto_extraido
5,ocr-a-std,800,7.69,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,Ahpneidenal
5,ocr-a-std,1800,7.69,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,Ahpneidenal
5,ocr-a-std,4800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,2800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,3800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,5800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,7800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,6800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,8800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
5,ocr-a-std,9800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,800,6.4,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,Zuahbi
7,ocr-a-std,3800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,2800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,1800,6.4,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,Zuahbi
7,ocr-a-std,4800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,5800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,6800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,7800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,8800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
7,ocr-a-std,9800,0.0,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,
9,ocr-a-std,2800,25.17,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,VZhBhbiYVobnbhcnkZ6oyihb
9,ocr-a-std,3800,12.4,aGFyZHBhbiBkaWx1dmlhbmlzbSA3NTY4MTkgcXVpbnRhcnkgdW5zYWludGxpa2UgdW5tYXBwZWQgZGVwc2lkZSBpc290aGlvY3lhbm8gY3JhbiBkcmFjaG0=,Cazntyumtk
